Date,Revenue,COGS,is_test,cogs_ratio,day_of_week,day_of_month,month,year,is_weekend,active_promos_count,is_promo_active,sessions_lag_1,total_stock_on_hand,total_stockouts,revenue_lag_1,revenue_lag_7,revenue_lag_30,revenue_rolling_mean_7,revenue_rolling_mean_30,revenue_rolling_std_7,is_payday,is_double_day,is_christmas
2012-07-04,5123547.94,3982991.19,0,0.7773892694366006,2,4,7,2012,0,0.0,0,,0.0,0.0,,,,,,,0,0,0
2012-07-05,2751773.45,2150580.23,0,0.781525176064185,3,5,7,2012,0,0.0,0,,0.0,0.0,5123547.94,,,,,,1,0,0
2012-07-06,3054029.42,2517632.84,0,0.8243643049122952,4,6,7,2012,0,0.0,0,,0.0,0.0,2751773.45,,,,,,0,0,0
2012-07-07,2667930.94,2108246.62,0,0.7902178382473424,5,7,7,2012,1,0.0,0,,0.0,0.0,3054029.42,,,,,,0,1,0
2012-07-08,2360851.9,1808622.79,0,0.7660890503127282,6,8,7,2012,1,0.0,0,,0.0,0.0,2667930.94,,,,,,0,0,0
2012-07-09,3548386.46,2787841.68,0,0.7856646144456317,0,9,7,2012,0,0.0,0,,0.0,0.0,2360851.9,,,,,,0,0,0
2012-07-10,5234938.62,4044438.84,0,0.7725857232687094,1,10,7,2012,0,0.0,0,,0.0,0.0,3548386.46,,,,,,0,0,0
2012-07-11,5582884.78,4338313.07,0,0.7770737245987012,2,11,7,2012,0,0.0,0,,0.0,0.0,5234938.62,5123547.94,,3534494.104285714,,1182417.179498357,0,0,0
2012-07-12,5734632.02,4458811.27,0,0.7775235192858982,3,12,7,2012,0,0.0,0,,0.0,0.0,5582884.78,2751773.45,,3600113.652857143,,1292886.5063433975,0,0,0
2012-07-13,5309511.71,4143402.78,0,0.7803736023778352,4,13,7,2012,0,0.0,0,,0.0,0.0,5734632.02,3054029.42,,4026236.305714286,,1448836.1457073893,0,0,0
2012-07-14,3820831.41,3075464.87,0,0.8049203275367756,5,14,7,2012,1,0.0,0,,0.0,0.0,5309511.71,2667930.94,,4348448.061428571,,1447389.8166826884,0,0,0
2012-07-15,3948841.28,3154482.05,0,0.7988373870524368,6,15,7,2012,1,0.0,0,,0.0,0.0,3820831.41,2360851.9,,4513148.128571428,,1280233.2104772015,1,0,0
2012-07-16,3503801.49,2708219.59,0,0.7729375073700308,0,16,7,2012,0,0.0,0,,0.0,0.0,3948841.28,3548386.46,,4740003.754285715,,927343.9921488013,0,0,0
2012-07-17,4476729.49,3463061.65,0,0.7735695573600538,1,17,7,2012,0,0.0,0,,0.0,0.0,3503801.49,5234938.62,,4733634.472857143,,936995.3367555395,0,0,0
2012-07-18,5184141.46,4072012.16,0,0.7854747389551365,2,18,7,2012,0,0.0,0,,0.0,0.0,4476729.49,5582884.78,,4625318.882857143,,912901.0552103135,0,0,0
2012-07-19,6421487.11,5007270.91,0,0.7797681166722765,3,19,7,2012,0,0.0,0,,0.0,0.0,5184141.46,5734632.02,,4568355.551428571,,853714.0912005331,0,0,0
2012-07-20,5171470.46,4213989.64,0,0.8148532748265954,4,20,7,2012,0,0.0,0,,0.0,0.0,6421487.11,5309511.71,,4666477.707142857,,1031137.4437340152,0,0,0
2012-07-21,3442157.02,2746075.45,0,0.797777508127738,5,21,7,2012,1,0.0,0,,0.0,0.0,5171470.46,3820831.41,,4646757.528571429,,1018026.6303597243,0,0,0
2012-07-22,3117550.57,2531656.38,0,0.8120658584858176,6,22,7,2012,1,0.0,0,,0.0,0.0,3442157.02,3948841.28,,4592661.187142857,,1077550.6835372702,0,0,0
2012-07-23,4730517.69,3685006.66,0,0.778985916866955,0,23,7,2012,0,0.0,0,,0.0,0.0,3117550.57,3503801.49,,4473905.371428572,,1199265.0184704945,0,0,0
2012-07-24,4096496.12,3248450.65,0,0.792982723489068,1,24,7,2012,0,0.0,0,,0.0,0.0,4730517.69,4476729.49,,4649150.542857142,,1120951.363625175,0,0,0
2012-07-25,5246688.08,4140019.37,0,0.7890728983454264,2,25,7,2012,0,0.0,0,,0.0,0.0,4096496.12,5184141.46,,4594831.49,,1139754.0475025706,1,0,0
2012-07-26,5851965.06,4579171.74,0,0.7825015517095382,3,26,7,2012,0,0.0,0,,0.0,0.0,5246688.08,6421487.11,,4603766.721428571,,1145375.3123940935,0,0,0
