Date,Revenue,COGS,day_of_week,day_of_month,week_of_year,month,quarter,year,day_of_year,is_weekend,is_month_start,is_month_end,days_since_start,is_post_2019,doy_sin,doy_cos,dow_sin,dow_cos,fourier_sin_year_order_1,fourier_cos_year_order_1,fourier_sin_year_order_2,fourier_cos_year_order_2,fourier_sin_year_order_3,fourier_cos_year_order_3,Revenue_lag_1,Revenue_lag_2,Revenue_lag_7,Revenue_lag_14,Revenue_lag_30,Revenue_lag_60,Revenue_diff_1,Revenue_diff_7,Revenue_pct_change_1,Revenue_pct_change_7,Revenue_ema_7,Revenue_rolling_std_7,Revenue_rolling_max_7,Revenue_rolling_min_7,Revenue_ema_14,Revenue_rolling_std_14,Revenue_rolling_max_14,Revenue_rolling_min_14,Revenue_ema_30,Revenue_rolling_std_30,Revenue_rolling_max_30,Revenue_rolling_min_30,Revenue_ema_ratio_7_30,Revenue_momentum_7,Revenue_momentum_30,COGS_lag_1,COGS_lag_2,COGS_lag_7,COGS_lag_14,COGS_lag_30,COGS_lag_60,COGS_diff_1,COGS_diff_7,COGS_pct_change_1,COGS_pct_change_7,COGS_ema_7,COGS_rolling_std_7,COGS_rolling_max_7,COGS_rolling_min_7,COGS_ema_14,COGS_rolling_std_14,COGS_rolling_max_14,COGS_rolling_min_14,COGS_ema_30,COGS_rolling_std_30,COGS_rolling_max_30,COGS_rolling_min_30,COGS_ema_ratio_7_30,COGS_momentum_7,COGS_momentum_30,gross_margin_lag_1,gross_margin_ratio_lag_1,cogs_revenue_ratio_lag_1,is_high_cogs_ratio_lag_1,is_payday_period,hist_avg_revenue_m_dow
2012-07-04,5123547.94,3982991.19,2,4,27,7,3,2012,186,0,0,0,0,0,-0.05802556932878035,-0.9983150972033183,0.9749279121818236,-0.22252093395631434,-0.05802556932878035,-0.9983150972033183,0.11585560376947847,0.9932660666081418,-0.17329522734857217,-0.9848699224660111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,5229279.7740816325
2012-07-05,2751773.45,2150580.23,3,5,27,7,3,2012,187,0,0,0,1,0,-0.07518957641475855,-0.9971692572470178,0.43388373911755823,-0.900968867902419,-0.07518957641475855,-0.9971692572470178,0.14995346813244534,0.9886930551971383,-0.22386840046373077,-0.9746193817454127,5123547.94,,,,,,,,,,5123547.94,,,,5123547.94,,,,5123547.94,,,,0.9999999999980483,,,3982991.19,,,,,,,,,,3982991.19,,,,3982991.19,,,,3982991.19,,,,0.9999999999974893,,,1140556.7500000005,0.222610730562965,0.7773892694350834,0,0,5378516.0564583335
2012-07-06,3054029.42,2517632.84,4,6,27,7,3,2012,188,0,0,0,2,0,-0.09233133369539122,-0.9957283388645872,-0.433883739117558,-0.9009688679024191,-0.09233133369539122,-0.9957283388645872,0.18387385105132759,0.9829498496360606,-0.2738454748405547,-0.9617737030660337,2751773.45,5123547.94,,,,,-2371774.49,,-0.46291642388731113,,4530604.3175,,,,4807311.341333334,,,,4970530.230967742,,,,0.9114931620904345,,,2150580.23,3982991.19,,,,,-1832410.96,,-0.4600590040471568,,3524888.45,,,,3738669.7286666664,,,,3864771.1280645165,,,,0.9120561950989706,,,601193.2200000002,0.21847482393502102,0.781525176061345,0,0,4580977.049387755
2012-07-07,2667930.94,2108246.62,5,7,27,7,3,2012,189,1,0,0,3,0,-0.10944576864891556,-0.993992768446958,-0.9749279121818236,-0.2225209339563146,-0.10944576864891556,-0.993992768446958,0.21757660514828173,0.9760432474496961,-0.3230933755523461,-0.9463670908660078,3054029.42,2751773.45,,,,,302255.96999999974,,0.10984042672553573,,4161460.593125,,,,4573540.41848889,,,,4846885.017356921,,,,0.8585845503274846,,,2517632.84,2150580.23,,,,,367052.60999999987,,0.17067608307735616,,3273074.5475000003,,,,3575864.810177778,,,,3777858.980447451,,,,0.866383463340305,,,536396.5800000001,0.17563569508712976,0.8243643049095959,0,0,3899708.3249999997
2012-07-08,2360851.9,1808622.79,6,8,27,7,3,2012,190,1,0,0,4,0,-0.12652781683868314,-0.9919630595773397,-0.7818314824680299,0.6234898018587334,-0.12652781683868314,-0.9919630595773397,0.2510218406258827,0.9679814231320734,-0.37148096925728835,-0.9284405686308982,2667930.94,3054029.42,,,,,-386098.48,,-0.12642264592198982,,3788078.17984375,,,,4319459.154690371,,,,4706307.334946797,,,,0.8048939243103052,,,2108246.62,2517632.84,,,,,-409386.21999999974,,-0.162607594521209,,2981867.5656250007,,,,3380182.384820741,,,,3670142.0539669706,,,,0.8124665263007587,,,559684.3199999998,0.20978216175187128,0.7902178382443804,0,0,4285735.179791667
2012-07-09,3548386.46,2787841.68,0,9,28,7,3,2012,191,0,0,0,5,0,-0.1435724234118113,-0.9896398128792412,0.0,1.0,-0.1435724234118113,-0.9896398128792412,0.2841699724797683,0.9587739184713191,-0.4188794133697427,-0.908041869659665,2360851.9,2667930.94,,,,,-307079.04000000004,,-0.11510007076869844,,3431271.6098828125,,,,4058311.520731655,,,,4554987.629466359,,,,0.7532998745547135,,,1808622.79,2108246.62,,,,,-299623.8300000001,,-0.14211991479440866,,2688556.3717187503,,,,3170641.105511309,,,,3550044.036936844,,,,0.75733042850674,,,552229.1099999999,0.23391094968628093,0.7660890503094833,0,0,4355875.178125001
2012-07-10,5234938.62,4044438.84,1,10,28,7,3,2012,192,0,0,0,6,0,-0.16057454459499376,-0.9870237158387383,0.7818314824680298,0.6234898018587336,-0.16057454459499376,-0.9870237158387383,0.31698176735052785,0.9484316312562208,-0.46516249913190355,-0.8852253099642835,3548386.46,2360851.9,,,,,1187534.56,,0.503011035973921,,3460550.322412109,,,,3990321.5126341013,,,,4490045.618533045,,,,0.7707160720418266,,,2787841.68,1808622.79,,,,,979218.8900000001,,0.5414168700152231,,2713377.698789063,,,,3119601.182109801,,,,3500869.691328015,,,,0.7750581821147485,,,760544.7799999998,0.2143353855537642,0.7856646144434176,0,0,4878211.600416667
2012-07-11,5582884.78,4338313.07,2,11,28,7,3,2012,193,0,0,0,7,0,-0.17752914918703497,-0.984115542601034,0.9749279121818236,-0.22252093395631434,-0.17752914918703497,-0.984115542601034,0.34941838995939767,0.9369668023778549,-0.5102069876723092,-0.8600516436414433,5234938.62,3548386.46,5123547.94,,,,1686552.1600000001,,0.4753011485676788,,3904147.3968090815,1182417.179498357,5234938.62,2360851.9,4156270.4602828883,,,,4538103.231530913,,,,0.8603037872021762,111390.6799999997,,4044438.84,2787841.68,3982991.19,,,,1256597.1599999997,,0.4507419373972483,,3046142.984091797,904191.9693496405,4044438.84,1808622.79,3242912.8698284943,,,,3535938.6686616917,,,,0.8614807182829641,61447.64999999991,,1190499.7800000003,0.22741427673085615,0.7725857232672337,0,0,5229279.7740816325
2012-07-12,5734632.02,4458811.27,3,12,28,7,3,2012,194,0,0,0,8,0,-0.19443122004766195,-0.9809161537413774,0.43388373911755823,-0.900968867902419,-0.19443122004766195,-0.9809161537413774,0.3814414490727919,0.9243930013415553,-0.5538929381563792,-0.8325879011014353,5582884.78,5234938.62,2751773.45,,,,347946.16000000015,459336.83999999985,0.06646613938713197,0.08965210150839331,4323831.742606811,1292886.5063433975,5582884.78,2360851.9,4346485.702911836,,,,4605508.4927224675,,,,0.9388391638903404,2831111.33,,4338313.07,4044438.84,2150580.23,,,,293874.23000000045,355321.88000000035,0.07266131140210308,0.08920980816932222,3369185.505568848,989490.5731524104,4338313.07,1808622.79,3388966.229851362,,,,3587704.7590706153,,,,0.9390921861787297,2187732.8400000003,,1244571.71,0.2229262754008996,0.7770737245973093,0,0,5378516.0564583335
2012-07-13,5309511.71,4143402.78,4,13,28,7,3,2012,195,0,0,0,9,0,-0.2112757555821793,-0.9774264960104055,-0.433883739117558,-0.9009688679024191,-0.2112757555821793,-0.9774264960104055,0.4130130429412807,0.9107251102063585,-0.5961040271552034,-0.8029072105849769,5734632.02,5582884.78,3054029.42,,,,151747.2399999993,2982858.5699999994,0.027180793797431546,1.0839767968544063,4676531.811955108,1448836.1457073893,5734632.02,2360851.9,4531571.878523591,,,,4678355.171901664,,,,0.9996102561927102,2680602.5999999996,,4458811.27,4338313.07,2517632.84,,,,120498.19999999925,2308231.0399999996,0.02777535831456235,1.073306174678263,3641591.946676636,1106093.5689533858,4458811.27,1808622.79,3531612.2352045137,,,,3643905.1791305756,,,,0.9993651776458999,1941178.4299999997,,1275820.75,0.22247648071371376,0.7775235192845426,0,0,4580977.049387755
